Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9
130,2,"3, 7, 3, 4, 5, 7, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[5]
5, 6, 7
4, 6","[7]
5, 6
4, 6","[5]
6
4, 6","[6]
6
4","[4]
6
"
131,1,"3, 7, 3, 4, 5, 7, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[5]
5, 6, 7
4, 6","[7]
5, 6
4, 6","[6]
5
4, 6","[5]

4, 6"
132,1,"3, 7, 3, 4, 6, 7, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[6]
5, 6, 7
4, 5","[7]
5, 6
4, 5","[5]
6
4, 5","[6]

4, 5"
133,1,"3, 7, 3, 4, 6, 7, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[4]
5, 6, 7
4, 5, 6","[6]
5, 6, 7
4, 5","[7]
5, 6
4, 5","[6]
5
4, 5","[5]

4, 5"
134,1,"3, 7, 3, 5, 6, 7, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[5]
4, 6, 7
4, 5, 6","[6]
4, 6, 7
4, 5","[7]
4, 6
4, 5","[4]
6
4, 5","[5]
6
4","[6]

4"
135,1,"3, 7, 3, 5, 6, 7, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[5]
4, 6, 7
4, 5, 6","[6]
4, 6, 7
4, 5","[7]
4, 6
4, 5","[6]
4
4, 5","[4]

4, 5"
136,1,"3, 7, 3, 6, 4, 5, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[4]
5, 7
4, 5, 6","[5]
5, 7
4, 6","[7]
5
4, 6","[5]

4, 6"
137,1,"3, 7, 3, 6, 4, 6, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[4]
5, 7
4, 5, 6","[6]
5, 7
4, 5","[7]
5
4, 5","[5]

4, 5"
138,1,"3, 7, 3, 6, 5, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[5]
4, 7
4, 5, 6","[6]
4, 7
4, 5","[7]
4
4, 5","[4]

4, 5"
139,1,"3, 7, 3, 6, 7, 4, 5, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[5]
5
4, 6","[4]
5
6","[5]

6"
140,2,"3, 7, 3, 6, 7, 4, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[5]
5
4, 6","[6]
5
4","[4]
5
"
141,1,"3, 7, 3, 6, 7, 4, 6, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[6]
5
4, 5","[4]
5
5","[5]

5"
142,2,"3, 7, 3, 6, 7, 4, 6, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[6]
5
4, 5","[5]
5
4","[4]
5
"
143,2,"3, 7, 3, 6, 7, 5, 6, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[5]
4
4, 5, 6","[6]
4
4, 5","[4]
4
5","[5]
4
"
144,2,"3, 7, 3, 6, 7, 5, 6, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[6]
4, 5, 7
4, 5, 6","[7]
4, 5
4, 5, 6","[5]
4
4, 5, 6","[6]
4
4, 5","[5]
4
4","[4]
4
"
145,1,"3, 7, 3, 7, 4, 5, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[4]
5, 6
4, 5, 6","[5]
5, 6
4, 6","[6]
5
4, 6","[5]

4, 6"
146,1,"3, 7, 3, 7, 4, 6, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[4]
5, 6
4, 5, 6","[6]
5, 6
4, 5","[4]
5, 6
5","[5]
6
5","[6]

5"
147,1,"3, 7, 3, 7, 4, 6, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[4]
5, 6
4, 5, 6","[6]
5, 6
4, 5","[4]
5, 6
5","[6]
5
5","[5]

5"
148,1,"3, 7, 3, 7, 4, 6, 5, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[4]
5, 6
4, 5, 6","[6]
5, 6
4, 5","[5]
5, 6
4","[6]
5
4","[5]

4"
149,1,"3, 7, 3, 7, 5, 6, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[5]
4, 6
4, 5, 6","[6]
4, 6
4, 5","[4]
4, 6
5","[6]
4
5","[4]

5"
150,1,"3, 7, 3, 7, 5, 6, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[5]
4, 6
4, 5, 6","[6]
4, 6
4, 5","[5]
4, 6
4","[6]
4
4","[4]

4"
151,1,"3, 7, 3, 7, 6, 4, 5, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[5]
5
4, 6","[4]
5
6","[5]

6"
152,2,"3, 7, 3, 7, 6, 4, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[5]
5
4, 6","[6]
5
4","[4]
5
"
153,1,"3, 7, 3, 7, 6, 4, 6, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[6]
5
4, 5","[4]
5
5","[5]

5"
154,2,"3, 7, 3, 7, 6, 4, 6, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[4]
5
4, 5, 6","[6]
5
4, 5","[5]
5
4","[4]
5
"
155,2,"3, 7, 3, 7, 6, 5, 6, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[5]
4
4, 5, 6","[6]
4
4, 5","[4]
4
5","[5]
4
"
156,2,"3, 7, 3, 7, 6, 5, 6, 5, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[3]
4, 5, 6, 7
4, 5, 6","[7]
4, 5, 6
4, 5, 6","[6]
4, 5
4, 5, 6","[5]
4
4, 5, 6","[6]
4
4, 5","[5]
4
4","[4]
4
"
157,1,"3, 7, 4, 5, 6, 7, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[5]
4, 6, 7
3, 5, 6","[6]
4, 6, 7
3, 5","[7]
4, 6
3, 5","[4]
6
3, 5","[5]
6
3","[6]

3"
158,1,"3, 7, 4, 5, 6, 7, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[5]
4, 6, 7
3, 5, 6","[6]
4, 6, 7
3, 5","[7]
4, 6
3, 5","[6]
4
3, 5","[4]

3, 5"
159,1,"3, 7, 4, 6, 4, 5, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[4]
5, 7
3, 5, 6","[5]
5, 7
3, 6","[7]
5
3, 6","[5]

3, 6"
160,1,"3, 7, 4, 6, 4, 6, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[4]
5, 7
3, 5, 6","[6]
5, 7
3, 5","[7]
5
3, 5","[5]

3, 5"
161,1,"3, 7, 4, 6, 5, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[5]
4, 7
3, 5, 6","[6]
4, 7
3, 5","[7]
4
3, 5","[4]

3, 5"
162,1,"3, 7, 4, 6, 7, 4, 5, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[3]
5
6","[5]

6"
163,2,"3, 7, 4, 6, 7, 4, 5, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[6]
5
3","[3]
5
"
164,1,"3, 7, 4, 6, 7, 4, 6, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[3]
5
5","[5]

5"
165,2,"3, 7, 4, 6, 7, 4, 6, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[5]
5
3","[3]
5
"
166,1,"3, 7, 4, 6, 7, 5, 6, 3, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[3]
4
5","[4]

5"
167,2,"3, 7, 4, 6, 7, 5, 6, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[6]
4, 5, 7
3, 5, 6","[7]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[5]
4
3","[3]
4
"
168,1,"3, 7, 4, 7, 4, 5, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[4]
5, 6
3, 5, 6","[5]
5, 6
3, 6","[6]
5
3, 6","[5]

3, 6"
169,1,"3, 7, 4, 7, 4, 6, 3, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[4]
5, 6
3, 5, 6","[6]
5, 6
3, 5","[3]
5, 6
5","[5]
6
5","[6]

5"
170,1,"3, 7, 4, 7, 4, 6, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[4]
5, 6
3, 5, 6","[6]
5, 6
3, 5","[3]
5, 6
5","[6]
5
5","[5]

5"
171,1,"3, 7, 4, 7, 4, 6, 5, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[4]
5, 6
3, 5, 6","[6]
5, 6
3, 5","[5]
5, 6
3","[6]
5
3","[5]

3"
172,2,"3, 7, 4, 7, 5, 6, 3, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[3]
4, 6
5","[4]
6
5","[5]
6
"
173,1,"3, 7, 4, 7, 5, 6, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[3]
4, 6
5","[6]
4
5","[4]

5"
174,1,"3, 7, 4, 7, 5, 6, 5, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[5]
4, 6
3, 5, 6","[6]
4, 6
3, 5","[5]
4, 6
3","[6]
4
3","[4]

3"
175,1,"3, 7, 4, 7, 6, 4, 5, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[3]
5
6","[5]

6"
176,2,"3, 7, 4, 7, 6, 4, 5, 6, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[5]
5
3, 6","[6]
5
3","[3]
5
"
177,1,"3, 7, 4, 7, 6, 4, 6, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[3]
5
5","[5]

5"
178,2,"3, 7, 4, 7, 6, 4, 6, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[4]
5
3, 5, 6","[6]
5
3, 5","[5]
5
3","[3]
5
"
179,1,"3, 7, 4, 7, 6, 5, 6, 3, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[3]
4
5","[4]

5"
180,2,"3, 7, 4, 7, 6, 5, 6, 5, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[4]
4, 5, 6, 7
3, 5, 6","[7]
4, 5, 6
3, 5, 6","[6]
4, 5
3, 5, 6","[5]
4
3, 5, 6","[6]
4
3, 5","[5]
4
3","[3]
4
"
181,1,"3, 7, 5, 6, 4, 6, 7, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[4]
5, 7
3, 4, 6","[6]
5, 7
3, 4","[7]
5
3, 4","[5]

3, 4"
182,1,"3, 7, 5, 6, 5, 6, 7, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[5]
4, 7
3, 4, 6","[6]
4, 7
3, 4","[7]
4
3, 4","[4]

3, 4"
183,1,"3, 7, 5, 6, 7, 4, 6, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[7]
4, 5
3, 4, 6","[4]
5
3, 4, 6","[6]
5
3, 4","[3]
5
4","[5]

4"
184,1,"3, 7, 5, 6, 7, 4, 6, 4, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[7]
4, 5
3, 4, 6","[4]
5
3, 4, 6","[6]
5
3, 4","[4]
5
3","[5]

3"
185,1,"3, 7, 5, 6, 7, 5, 6, 3, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[7]
4, 5
3, 4, 6","[5]
4
3, 4, 6","[6]
4
3, 4","[3]
4
4","[4]

4"
186,2,"3, 7, 5, 6, 7, 5, 6, 4, 3","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[6]
4, 5, 7
3, 4, 6","[7]
4, 5
3, 4, 6","[5]
4
3, 4, 6","[6]
4
3, 4","[4]
4
3","[3]
4
"
187,1,"3, 7, 5, 7, 4, 6, 3, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[4]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[3]
5, 6
4","[5]
6
4","[6]

4"
188,1,"3, 7, 5, 7, 4, 6, 3, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[4]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[3]
5, 6
4","[6]
5
4","[5]

4"
189,1,"3, 7, 5, 7, 4, 6, 4, 5, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[4]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[4]
5, 6
3","[5]
6
3","[6]

3"
190,1,"3, 7, 5, 7, 4, 6, 4, 6, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[4]
5, 6
3, 4, 6","[6]
5, 6
3, 4","[4]
5, 6
3","[6]
5
3","[5]

3"
191,1,"3, 7, 5, 7, 5, 6, 3, 4, 6","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[5]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[3]
4, 6
4","[4]
6
4","[6]

4"
192,1,"3, 7, 5, 7, 5, 6, 3, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[5]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[3]
4, 6
4","[6]
4
4","[4]

4"
193,1,"3, 7, 5, 7, 5, 6, 4, 6, 4","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[5]
4, 6
3, 4, 6","[6]
4, 6
3, 4","[4]
4, 6
3","[6]
4
3","[4]

3"
194,1,"3, 7, 5, 7, 6, 4, 6, 3, 5","3, 4, 5, 6, 7
3, 4, 5, 6, 7","[3]
4, 5, 6, 7
3, 4, 5, 6, 7","[7]
4, 5, 6, 7
3, 4, 5, 6","[5]
4, 5, 6, 7
3, 4, 6","[7]
4, 5, 6
3, 4, 6","[6]
4, 5
3, 4, 6","[4]
5
3, 4, 6","[6]
5
3, 4","[3]
5
4","[5]

4"
